Date,Visitor Team,Home Team,Visitor Goals,Home Goals
2022-10-07,San Jose Sharks,Nashville Predators,1,4
2022-10-08,Nashville Predators,San Jose Sharks,3,2
2022-10-11,Vegas Golden Knights,Los Angeles Kings,4,3
2022-10-11,Tampa Bay Lightning,New York Rangers,1,3
2022-10-12,Seattle Kraken,Anaheim Ducks,4,5
2022-10-12,Columbus Blue Jackets,Carolina Hurricanes,1,4
2022-10-12,Chicago Blackhawks,Colorado Avalanche,2,5
2022-10-12,Vancouver Canucks,Edmonton Oilers,3,5
2022-10-12,Toronto Maple Leafs,Montreal Canadiens,3,4
2022-10-12,Boston Bruins,Washington Capitals,5,2
2022-10-13,Ottawa Senators,Buffalo Sabres,1,4
2022-10-13,Colorado Avalanche,Calgary Flames,3,5
2022-10-13,Seattle Kraken,Los Angeles Kings,4,1
2022-10-13,New York Rangers,Minnesota Wild,7,3
2022-10-13,Dallas Stars,Nashville Predators,4,1
2022-10-13,Florida Panthers,New York Islanders,3,1
2022-10-13,New Jersey Devils,Philadelphia Flyers,2,5
2022-10-13,Arizona Coyotes,Pittsburgh Penguins,2,6
2022-10-13,Washington Capitals,Toronto Maple Leafs,2,3
2022-10-13,Chicago Blackhawks,Vegas Golden Knights,0,1
2022-10-14,Tampa Bay Lightning,Columbus Blue Jackets,5,2
2022-10-14,Montreal Canadiens,Detroit Red Wings,0,3
2022-10-14,Carolina Hurricanes,San Jose Sharks,2,1
2022-10-14,New York Rangers,Winnipeg Jets,1,4
2022-10-15,Arizona Coyotes,Boston Bruins,3,6
2022-10-15,Florida Panthers,Buffalo Sabres,4,3
2022-10-15,Nashville Predators,Dallas Stars,1,5
2022-10-15,Calgary Flames,Edmonton Oilers,4,3
2022-10-15,Los Angeles Kings,Minnesota Wild,7,6
2022-10-15,Detroit Red Wings,New Jersey Devils,5,2
2022-10-15,Anaheim Ducks,New York Islanders,1,7
2022-10-15,Vancouver Canucks,Philadelphia Flyers,2,3
2022-10-15,Tampa Bay Lightning,Pittsburgh Penguins,2,6
2022-10-15,Vegas Golden Knights,Seattle Kraken,5,2
2022-10-15,Chicago Blackhawks,San Jose Sharks,5,2
2022-10-15,Columbus Blue Jackets,St. Louis Blues,2,5
2022-10-15,Ottawa Senators,Toronto Maple Leafs,2,3
2022-10-15,Montreal Canadiens,Washington Capitals,1,3
2022-10-17,Florida Panthers,Boston Bruins,3,5
2022-10-17,Winnipeg Jets,Dallas Stars,1,4
2022-10-17,Los Angeles Kings,Detroit Red Wings,5,4
2022-10-17,Colorado Avalanche,Minnesota Wild,6,3
2022-10-17,Pittsburgh Penguins,Montreal Canadiens,2,3
2022-10-17,Anaheim Ducks,New York Rangers,4,6
2022-10-17,Carolina Hurricanes,Seattle Kraken,5,1
2022-10-17,Arizona Coyotes,Toronto Maple Leafs,4,2
2022-10-17,Vancouver Canucks,Washington Capitals,4,6
2022-10-18,Vancouver Canucks,Columbus Blue Jackets,3,4
2022-10-18,Vegas Golden Knights,Calgary Flames,2,3
2022-10-18,Buffalo Sabres,Edmonton Oilers,4,2
2022-10-18,Anaheim Ducks,New Jersey Devils,2,4
2022-10-18,Los Angeles Kings,Nashville Predators,4,3
2022-10-18,San Jose Sharks,New York Islanders,2,5
2022-10-18,Boston Bruins,Ottawa Senators,5,7
2022-10-18,Philadelphia Flyers,Tampa Bay Lightning,3,2
2022-10-19,Winnipeg Jets,Colorado Avalanche,4,3
2022-10-19,Philadelphia Flyers,Florida Panthers,3,4
2022-10-19,St. Louis Blues,Seattle Kraken,4,3
2022-10-20,Anaheim Ducks,Boston Bruins,1,2
2022-10-20,Nashville Predators,Columbus Blue Jackets,3,5
2022-10-20,Buffalo Sabres,Calgary Flames,6,3
2022-10-20,Carolina Hurricanes,Edmonton Oilers,4,6
2022-10-20,Vancouver Canucks,Minnesota Wild,3,4
2022-10-20,Arizona Coyotes,Montreal Canadiens,2,6
2022-10-20,New Jersey Devils,New York Islanders,4,1
2022-10-20,San Jose Sharks,New York Rangers,3,2
2022-10-20,Washington Capitals,Ottawa Senators,2,5
2022-10-20,Los Angeles Kings,Pittsburgh Penguins,1,6
2022-10-20,Dallas Stars,Toronto Maple Leafs,2,3
2022-10-20,Winnipeg Jets,Vegas Golden Knights,2,5
2022-10-21,Detroit Red Wings,Chicago Blackhawks,3,4
2022-10-21,Seattle Kraken,Colorado Avalanche,3,2
2022-10-21,Tampa Bay Lightning,Florida Panthers,3,2
2022-10-22,Minnesota Wild,Boston Bruins,3,4
2022-10-22,Pittsburgh Penguins,Columbus Blue Jackets,6,3
2022-10-22,Carolina Hurricanes,Calgary Flames,2,3
2022-10-22,St. Louis Blues,Edmonton Oilers,2,0
2022-10-22,Dallas Stars,Montreal Canadiens,5,2
2022-10-22,San Jose Sharks,New Jersey Devils,1,2
2022-10-22,Philadelphia Flyers,Nashville Predators,3,1
2022-10-22,Arizona Coyotes,Ottawa Senators,2,6
2022-10-22,New York Islanders,Tampa Bay Lightning,3,5
2022-10-22,Buffalo Sabres,Vancouver Canucks,5,1
2022-10-22,Colorado Avalanche,Vegas Golden Knights,3,2
2022-10-22,Toronto Maple Leafs,Winnipeg Jets,4,1
2022-10-22,Los Angeles Kings,Washington Capitals,3,4
2022-10-23,Seattle Kraken,Chicago Blackhawks,4,5
2022-10-23,Anaheim Ducks,Detroit Red Wings,1,5
2022-10-23,New York Islanders,Florida Panthers,2,3
2022-10-23,Columbus Blue Jackets,New York Rangers,5,1
2022-10-23,San Jose Sharks,Philadelphia Flyers,3,0
2022-10-24,Pittsburgh Penguins,Edmonton Oilers,3,6
2022-10-24,Washington Capitals,New Jersey Devils,6,3
2022-10-24,Dallas Stars,Ottawa Senators,2,4
2022-10-24,Carolina Hurricanes,Vancouver Canucks,3,2
2022-10-24,Toronto Maple Leafs,Vegas Golden Knights,1,3
2022-10-24,St. Louis Blues,Winnipeg Jets,0,4
2022-10-25,Dallas Stars,Boston Bruins,1,3
2022-10-25,Arizona Coyotes,Columbus Blue Jackets,6,3
2022-10-25,Pittsburgh Penguins,Calgary Flames,1,4
2022-10-25,Florida Panthers,Chicago Blackhawks,2,4
2022-10-25,New Jersey Devils,Detroit Red Wings,6,2
2022-10-25,Tampa Bay Lightning,Los Angeles Kings,2,4
2022-10-25,Minnesota Wild,Montreal Canadiens,3,1
2022-10-25,Colorado Avalanche,New York Rangers,3,2
2022-10-25,Buffalo Sabres,Seattle Kraken,1,5
2022-10-25,Vegas Golden Knights,San Jose Sharks,4,2
2022-10-26,Tampa Bay Lightning,Anaheim Ducks,4,2
2022-10-26,New York Rangers,New York Islanders,0,3
2022-10-26,Edmonton Oilers,St. Louis Blues,3,1
2022-10-27,Detroit Red Wings,Boston Bruins,1,5
2022-10-27,Montreal Canadiens,Buffalo Sabres,3,2
2022-10-27,Edmonton Oilers,Chicago Blackhawks,6,5
2022-10-27,Washington Capitals,Dallas Stars,0,2
2022-10-27,Winnipeg Jets,Los Angeles Kings,6,4
2022-10-27,St. Louis Blues,Nashville Predators,2,6
2022-10-27,Minnesota Wild,Ottawa Senators,4,2
2022-10-27,Florida Panthers,Philadelphia Flyers,3,4
2022-10-27,Vancouver Canucks,Seattle Kraken,5,4
2022-10-27,Toronto Maple Leafs,San Jose Sharks,3,4
2022-10-28,Winnipeg Jets,Arizona Coyotes,3,2
2022-10-28,New York Islanders,Carolina Hurricanes,6,2
2022-10-28,Boston Bruins,Columbus Blue Jackets,4,0
2022-10-28,Colorado Avalanche,New Jersey Devils,0,1
2022-10-28,Pittsburgh Penguins,Vancouver Canucks,1,5
2022-10-28,Anaheim Ducks,Vegas Golden Knights,0,4
2022-10-29,Chicago Blackhawks,Buffalo Sabres,3,4
2022-10-29,Edmonton Oilers,Calgary Flames,3,2
2022-10-29,New York Rangers,Dallas Stars,6,3
2022-10-29,Minnesota Wild,Detroit Red Wings,1,2
2022-10-29,Ottawa Senators,Florida Panthers,3,5
2022-10-29,Toronto Maple Leafs,Los Angeles Kings,2,4
2022-10-29,Washington Capitals,Nashville Predators,3,0
2022-10-29,Colorado Avalanche,New York Islanders,4,5
2022-10-29,Carolina Hurricanes,Philadelphia Flyers,4,3
2022-10-29,Pittsburgh Penguins,Seattle Kraken,1,3
2022-10-29,Tampa Bay Lightning,San Jose Sharks,4,3
2022-10-29,Montreal Canadiens,St. Louis Blues,7,4
2022-10-30,Toronto Maple Leafs,Anaheim Ducks,3,4
2022-10-30,New York Rangers,Arizona Coyotes,3,2
2022-10-30,Minnesota Wild,Chicago Blackhawks,4,3
2022-10-30,Columbus Blue Jackets,New Jersey Devils,1,7
2022-10-30,Winnipeg Jets,Vegas Golden Knights,1,2
2022-10-31,Detroit Red Wings,Buffalo Sabres,3,8
2022-10-31,Washington Capitals,Carolina Hurricanes,2,3
2022-10-31,Los Angeles Kings,St. Louis Blues,5,1
2022-11-01,Florida Panthers,Arizona Coyotes,1,3
2022-11-01,Seattle Kraken,Calgary Flames,5,4
2022-11-01,New York Islanders,Chicago Blackhawks,3,1
2022-11-01,Los Angeles Kings,Dallas Stars,2,5
2022-11-01,Nashville Predators,Edmonton Oilers,4,7
2022-11-01,Montreal Canadiens,Minnesota Wild,1,4
2022-11-01,Philadelphia Flyers,New York Rangers,0,1
2022-11-01,Boston Bruins,Pittsburgh Penguins,6,5
2022-11-01,Anaheim Ducks,San Jose Sharks,6,5
2022-11-01,Ottawa Senators,Tampa Bay Lightning,3,4
2022-11-01,New Jersey Devils,Vancouver Canucks,5,2
2022-11-01,Vegas Golden Knights,Washington Capitals,3,2
2022-11-02,Pittsburgh Penguins,Buffalo Sabres,3,6
2022-11-02,Philadelphia Flyers,Toronto Maple Leafs,2,5
2022-11-03,Dallas Stars,Arizona Coyotes,7,2
2022-11-03,Nashville Predators,Calgary Flames,4,1
2022-11-03,Los Angeles Kings,Chicago Blackhawks,1,2
2022-11-03,Washington Capitals,Detroit Red Wings,1,3
2022-11-03,New Jersey Devils,Edmonton Oilers,4,3
2022-11-03,Seattle Kraken,Minnesota Wild,4,0
2022-11-03,Boston Bruins,New York Rangers,5,2
2022-11-03,Vegas Golden Knights,Ottawa Senators,5,4
2022-11-03,Florida Panthers,San Jose Sharks,4,3
2022-11-03,New York Islanders,St. Louis Blues,5,2
2022-11-03,Carolina Hurricanes,Tampa Bay Lightning,4,3
2022-11-03,Anaheim Ducks,Vancouver Canucks,5,8
2022-11-03,Montreal Canadiens,Winnipeg Jets,2,3
2022-11-04,Buffalo Sabres,Carolina Hurricanes,3,5
2022-11-04,Columbus Blue Jackets,Colorado Avalanche,3,6
2022-11-05,Colorado Avalanche,Columbus Blue Jackets,5,1
2022-11-05,New Jersey Devils,Calgary Flames,4,3
2022-11-05,New York Islanders,Detroit Red Wings,0,3
2022-11-05,Dallas Stars,Edmonton Oilers,6,2
2022-11-05,Florida Panthers,Los Angeles Kings,4,5
2022-11-05,Vegas Golden Knights,Montreal Canadiens,6,4
2022-11-05,Philadelphia Flyers,Ottawa Senators,2,1
2022-11-05,Seattle Kraken,Pittsburgh Penguins,3,2
2022-11-05,Anaheim Ducks,San Jose Sharks,5,4
2022-11-05,Buffalo Sabres,Tampa Bay Lightning,3,5
2022-11-05,Boston Bruins,Toronto Maple Leafs,1,2
2022-11-05,Nashville Predators,Vancouver Canucks,4,3
2022-11-05,Chicago Blackhawks,Winnipeg Jets,0,4
2022-11-05,Arizona Coyotes,Washington Capitals,3,2
2022-11-06,Florida Panthers,Anaheim Ducks,5,3
2022-11-06,Toronto Maple Leafs,Carolina Hurricanes,3,1
2022-11-06,Detroit Red Wings,New York Rangers,3,2
2022-11-07,St. Louis Blues,Boston Bruins,1,3
2022-11-07,Calgary Flames,New York Islanders,3,4
2022-11-07,Edmonton Oilers,Washington Capitals,4,5
2022-11-08,Arizona Coyotes,Buffalo Sabres,4,1
2022-11-08,Montreal Canadiens,Detroit Red Wings,3,2
2022-11-08,Minnesota Wild,Los Angeles Kings,0,1
2022-11-08,Calgary Flames,New Jersey Devils,2,3
2022-11-08,New York Islanders,New York Rangers,4,3
2022-11-08,Vancouver Canucks,Ottawa Senators,6,4
2022-11-08,St. Louis Blues,Philadelphia Flyers,1,5
2022-11-08,Nashville Predators,Seattle Kraken,1,5
2022-11-08,Edmonton Oilers,Tampa Bay Lightning,3,2
2022-11-08,Vegas Golden Knights,Toronto Maple Leafs,4,3
2022-11-08,Dallas Stars,Winnipeg Jets,1,5
2022-11-09,Minnesota Wild,Anaheim Ducks,4,1
2022-11-09,Carolina Hurricanes,Florida Panthers,0,3
2022-11-09,Vancouver Canucks,Montreal Canadiens,2,5
2022-11-09,Pittsburgh Penguins,Washington Capitals,4,1
2022-11-10,Calgary Flames,Boston Bruins,1,3
2022-11-10,Vegas Golden Knights,Buffalo Sabres,7,4
2022-11-10,Edmonton Oilers,Carolina Hurricanes,2,7
2022-11-10,Philadelphia Flyers,Columbus Blue Jackets,2,5
2022-11-10,Nashville Predators,Colorado Avalanche,3,5
2022-11-10,New York Rangers,Detroit Red Wings,8,2
2022-11-10,Chicago Blackhawks,Los Angeles Kings,1,2
2022-11-10,Ottawa Senators,New Jersey Devils,3,4
2022-11-10,Arizona Coyotes,New York Islanders,2,0
2022-11-10,San Jose Sharks,St. Louis Blues,3,5
2022-11-11,San Jose Sharks,Dallas Stars,5,4
2022-11-11,Minnesota Wild,Seattle Kraken,1,0
2022-11-11,Pittsburgh Penguins,Toronto Maple Leafs,4,2
2022-11-11,Tampa Bay Lightning,Washington Capitals,1,5
2022-11-12,Chicago Blackhawks,Anaheim Ducks,3,2
2022-11-12,Boston Bruins,Buffalo Sabres,3,1
2022-11-12,Winnipeg Jets,Calgary Flames,2,3
2022-11-12,Carolina Hurricanes,Colorado Avalanche,1,4
2022-11-12,Edmonton Oilers,Florida Panthers,4,2
2022-11-12,Detroit Red Wings,Los Angeles Kings,3,4
2022-11-12,Pittsburgh Penguins,Montreal Canadiens,4,5
2022-11-12,Arizona Coyotes,New Jersey Devils,2,4
2022-11-12,New York Rangers,Nashville Predators,1,2
2022-11-12,Columbus Blue Jackets,New York Islanders,3,4
2022-11-12,Ottawa Senators,Philadelphia Flyers,4,1
2022-11-12,Vancouver Canucks,Toronto Maple Leafs,2,3
2022-11-12,St. Louis Blues,Vegas Golden Knights,3,2
2022-11-13,Vancouver Canucks,Boston Bruins,2,5
2022-11-13,San Jose Sharks,Minnesota Wild,3,2
2022-11-13,Arizona Coyotes,New York Rangers,1,4
2022-11-13,Dallas Stars,Philadelphia Flyers,5,1
2022-11-13,Winnipeg Jets,Seattle Kraken,3,2
2022-11-13,Washington Capitals,Tampa Bay Lightning,3,6
2022-11-14,Los Angeles Kings,Calgary Flames,5,6
2022-11-14,Carolina Hurricanes,Chicago Blackhawks,3,0
2022-11-14,St. Louis Blues,Colorado Avalanche,3,2
2022-11-14,New York Islanders,Ottawa Senators,4,2
2022-11-15,Detroit Red Wings,Anaheim Ducks,2,3
2022-11-15,Vancouver Canucks,Buffalo Sabres,5,4
2022-11-15,Philadelphia Flyers,Columbus Blue Jackets,4,5
2022-11-15,Washington Capitals,Florida Panthers,2,5
2022-11-15,New Jersey Devils,Montreal Canadiens,5,1
2022-11-15,Minnesota Wild,Nashville Predators,1,2
2022-11-15,Toronto Maple Leafs,Pittsburgh Penguins,5,2
2022-11-15,Dallas Stars,Tampa Bay Lightning,4,5
2022-11-15,San Jose Sharks,Vegas Golden Knights,5,2
2022-11-16,St. Louis Blues,Chicago Blackhawks,5,2
2022-11-16,Los Angeles Kings,Edmonton Oilers,3,1
2022-11-16,Buffalo Sabres,Ottawa Senators,1,4
2022-11-17,Philadelphia Flyers,Boston Bruins,1,4
2022-11-17,Colorado Avalanche,Carolina Hurricanes,3,2
2022-11-17,Montreal Canadiens,Columbus Blue Jackets,4,6
2022-11-17,Dallas Stars,Florida Panthers,6,4
2022-11-17,Pittsburgh Penguins,Minnesota Wild,6,4
2022-11-17,New York Islanders,Nashville Predators,4,5
2022-11-17,New York Rangers,Seattle Kraken,2,3
2022-11-17,Detroit Red Wings,San Jose Sharks,7,4
2022-11-17,Washington Capitals,St. Louis Blues,4,5
2022-11-17,Calgary Flames,Tampa Bay Lightning,1,4
2022-11-17,New Jersey Devils,Toronto Maple Leafs,3,2
2022-11-17,Arizona Coyotes,Vegas Golden Knights,1,4
2022-11-17,Anaheim Ducks,Winnipeg Jets,2,3
2022-11-18,Los Angeles Kings,Vancouver Canucks,1,4
2022-11-19,Chicago Blackhawks,Boston Bruins,1,6
2022-11-19,Detroit Red Wings,Columbus Blue Jackets,6,1
2022-11-19,New York Islanders,Dallas Stars,2,5
2022-11-19,Vegas Golden Knights,Edmonton Oilers,3,4
2022-11-19,Calgary Flames,Florida Panthers,5,4
2022-11-19,Carolina Hurricanes,Minnesota Wild,1,2
2022-11-19,Philadelphia Flyers,Montreal Canadiens,4,5
2022-11-19,Tampa Bay Lightning,Nashville Predators,3,2
2022-11-19,New Jersey Devils,Ottawa Senators,5,1
2022-11-19,Los Angeles Kings,Seattle Kraken,2,3
2022-11-19,New York Rangers,San Jose Sharks,2,1
2022-11-19,Anaheim Ducks,St. Louis Blues,2,6
2022-11-19,Buffalo Sabres,Toronto Maple Leafs,2,5
2022-11-19,Pittsburgh Penguins,Winnipeg Jets,3,0
2022-11-19,Colorado Avalanche,Washington Capitals,4,0
2022-11-20,Florida Panthers,Columbus Blue Jackets,3,5
2022-11-20,Pittsburgh Penguins,Chicago Blackhawks,5,3
2022-11-21,Colorado Avalanche,Dallas Stars,3,2
2022-11-21,Edmonton Oilers,New Jersey Devils,2,5
2022-11-21,Arizona Coyotes,Nashville Predators,3,4
2022-11-21,Calgary Flames,Philadelphia Flyers,5,2
2022-11-21,Ottawa Senators,San Jose Sharks,1,5
2022-11-21,Anaheim Ducks,St. Louis Blues,1,3
2022-11-21,Boston Bruins,Tampa Bay Lightning,5,3
2022-11-21,New York Islanders,Toronto Maple Leafs,3,2
2022-11-21,Vegas Golden Knights,Vancouver Canucks,5,4
2022-11-21,Carolina Hurricanes,Winnipeg Jets,3,4
2022-11-22,New York Rangers,Los Angeles Kings,5,3
2022-11-22,Buffalo Sabres,Montreal Canadiens,7,2
2022-11-23,New York Rangers,Anaheim Ducks,2,3
2022-11-23,St. Louis Blues,Buffalo Sabres,2,6
2022-11-23,Arizona Coyotes,Carolina Hurricanes,4,0
2022-11-23,Montreal Canadiens,Columbus Blue Jackets,3,1
2022-11-23,Vancouver Canucks,Colorado Avalanche,4,3
2022-11-23,Chicago Blackhawks,Dallas Stars,4,6
2022-11-23,Nashville Predators,Detroit Red Wings,0,3
2022-11-23,Boston Bruins,Florida Panthers,2,5
2022-11-23,Winnipeg Jets,Minnesota Wild,1,6
2022-11-23,Toronto Maple Leafs,New Jersey Devils,2,1
2022-11-23,Edmonton Oilers,New York Islanders,0,3
2022-11-23,Calgary Flames,Pittsburgh Penguins,1,2
2022-11-23,San Jose Sharks,Seattle Kraken,5,8
2022-11-23,Ottawa Senators,Vegas Golden Knights,1,4
2022-11-23,Philadelphia Flyers,Washington Capitals,2,3
2022-11-25,Ottawa Senators,Anaheim Ducks,5,1
2022-11-25,Carolina Hurricanes,Boston Bruins,2,3
2022-11-25,New Jersey Devils,Buffalo Sabres,3,1
2022-11-25,New York Islanders,Columbus Blue Jackets,3,2
2022-11-25,Montreal Canadiens,Chicago Blackhawks,3,2
2022-11-25,Winnipeg Jets,Dallas Stars,5,4
2022-11-25,Arizona Coyotes,Detroit Red Wings,3,4
2022-11-25,Toronto Maple Leafs,Minnesota Wild,4,3
2022-11-25,Pittsburgh Penguins,Philadelphia Flyers,4,1
2022-11-25,Los Angeles Kings,San Jose Sharks,5,2
2022-11-25,St. Louis Blues,Tampa Bay Lightning,2,5
2022-11-25,Seattle Kraken,Vegas Golden Knights,4,2
2022-11-25,Calgary Flames,Washington Capitals,0,3
2022-11-26,Calgary Flames,Carolina Hurricanes,2,3
2022-11-26,Dallas Stars,Colorado Avalanche,1,4
2022-11-26,St. Louis Blues,Florida Panthers,5,4
2022-11-26,Washington Capitals,New Jersey Devils,1,5
2022-11-26,Philadelphia Flyers,New York Islanders,2,5
2022-11-26,Edmonton Oilers,New York Rangers,4,3
2022-11-26,Toronto Maple Leafs,Pittsburgh Penguins,4,1
2022-11-26,Vancouver Canucks,Vegas Golden Knights,5,1
2022-11-27,Seattle Kraken,Anaheim Ducks,5,4
2022-11-27,Winnipeg Jets,Chicago Blackhawks,7,2
2022-11-27,Ottawa Senators,Los Angeles Kings,3,2
2022-11-27,Arizona Coyotes,Minnesota Wild,3,4
2022-11-27,Vancouver Canucks,San Jose Sharks,4,3
2022-11-28,Tampa Bay Lightning,Buffalo Sabres,6,5
2022-11-28,Vegas Golden Knights,Columbus Blue Jackets,3,2
2022-11-28,Toronto Maple Leafs,Detroit Red Wings,4,2
2022-11-28,Florida Panthers,Edmonton Oilers,3,4
2022-11-28,New Jersey Devils,New York Rangers,5,3
2022-11-28,Dallas Stars,St. Louis Blues,4,1
2022-11-29,Tampa Bay Lightning,Boston Bruins,1,3
2022-11-29,Florida Panthers,Calgary Flames,2,6
2022-11-29,Seattle Kraken,Los Angeles Kings,9,8
2022-11-29,San Jose Sharks,Montreal Canadiens,4,0
2022-11-29,Anaheim Ducks,Nashville Predators,1,2
2022-11-29,New York Islanders,Philadelphia Flyers,1,3
2022-11-29,Carolina Hurricanes,Pittsburgh Penguins,3,2
2022-11-29,Washington Capitals,Vancouver Canucks,5,1
2022-11-29,Colorado Avalanche,Winnipeg Jets,0,5
2022-11-30,Edmonton Oilers,Chicago Blackhawks,5,4
2022-11-30,Buffalo Sabres,Detroit Red Wings,5,4
2022-11-30,New York Rangers,Ottawa Senators,3,1
2022-11-30,San Jose Sharks,Toronto Maple Leafs,1,3
2022-12-01,Colorado Avalanche,Buffalo Sabres,6,4
2022-12-01,Montreal Canadiens,Calgary Flames,2,1
2022-12-01,Anaheim Ducks,Dallas Stars,0,5
2022-12-01,Arizona Coyotes,Los Angeles Kings,3,5
2022-12-01,Edmonton Oilers,Minnesota Wild,3,5
2022-12-01,Nashville Predators,New Jersey Devils,4,3
2022-12-01,Tampa Bay Lightning,Philadelphia Flyers,4,1
2022-12-01,Vegas Golden Knights,Pittsburgh Penguins,3,4
2022-12-01,Washington Capitals,Seattle Kraken,2,3
2022-12-01,Carolina Hurricanes,St. Louis Blues,6,4
2022-12-01,Florida Panthers,Vancouver Canucks,5,1
2022-12-02,Nashville Predators,New York Islanders,4,1
2022-12-02,Ottawa Senators,New York Rangers,3,2
2022-12-02,Columbus Blue Jackets,Winnipeg Jets,4,1
2022-12-03,Colorado Avalanche,Boston Bruins,1,5
2022-12-03,Washington Capitals,Calgary Flames,2,5
2022-12-03,Vegas Golden Knights,Detroit Red Wings,4,1
2022-12-03,Montreal Canadiens,Edmonton Oilers,3,5
2022-12-03,Carolina Hurricanes,Los Angeles Kings,4,2
2022-12-03,Anaheim Ducks,Minnesota Wild,4,5
2022-12-03,Chicago Blackhawks,New York Rangers,5,2
2022-12-03,San Jose Sharks,Ottawa Senators,2,5
2022-12-03,New Jersey Devils,Philadelphia Flyers,3,2
2022-12-03,St. Louis Blues,Pittsburgh Penguins,2,6
2022-12-03,Florida Panthers,Seattle Kraken,5,1
2022-12-03,Toronto Maple Leafs,Tampa Bay Lightning,3,4
2022-12-03,Arizona Coyotes,Vancouver Canucks,2,3
2022-12-04,San Jose Sharks,Buffalo Sabres,3,6
2022-12-04,Detroit Red Wings,Columbus Blue Jackets,4,2
2022-12-04,Minnesota Wild,Dallas Stars,6,5
2022-12-04,Chicago Blackhawks,New York Islanders,0,3
2022-12-04,Anaheim Ducks,Winnipeg Jets,2,5
2022-12-05,Vegas Golden Knights,Boston Bruins,4,3
2022-12-05,Arizona Coyotes,Calgary Flames,2,3
2022-12-05,Washington Capitals,Edmonton Oilers,3,2
2022-12-05,St. Louis Blues,New York Rangers,4,6
2022-12-05,Colorado Avalanche,Philadelphia Flyers,3,5
2022-12-05,Montreal Canadiens,Vancouver Canucks,6,7
2022-12-06,Carolina Hurricanes,Anaheim Ducks,3,4
2022-12-06,Toronto Maple Leafs,Dallas Stars,4,0
2022-12-06,Chicago Blackhawks,New Jersey Devils,0,3
2022-12-06,St. Louis Blues,New York Islanders,7,4
2022-12-06,Los Angeles Kings,Ottawa Senators,5,2
2022-12-06,Columbus Blue Jackets,Pittsburgh Penguins,1,4
2022-12-06,Montreal Canadiens,Seattle Kraken,4,2
2022-12-06,Detroit Red Wings,Tampa Bay Lightning,4,2
2022-12-06,Florida Panthers,Winnipeg Jets,2,5
2022-12-07,Buffalo Sabres,Columbus Blue Jackets,9,4
2022-12-07,Minnesota Wild,Calgary Flames,3,5
2022-12-07,Boston Bruins,Colorado Avalanche,4,0
2022-12-07,Arizona Coyotes,Edmonton Oilers,2,8
2022-12-07,Washington Capitals,Philadelphia Flyers,4,1
2022-12-07,Vancouver Canucks,San Jose Sharks,6,5
2022-12-07,New York Rangers,Vegas Golden Knights,5,1
2022-12-08,Ottawa Senators,Dallas Stars,3,4
2022-12-08,Detroit Red Wings,Florida Panthers,1,5
2022-12-08,Winnipeg Jets,St. Louis Blues,5,2
2022-12-08,Nashville Predators,Tampa Bay Lightning,2,5
2022-12-08,Los Angeles Kings,Toronto Maple Leafs,0,5
2022-12-09,San Jose Sharks,Anaheim Ducks,6,1
2022-12-09,Boston Bruins,Arizona Coyotes,3,4
2022-12-09,Pittsburgh Penguins,Buffalo Sabres,4,3
2022-12-09,Calgary Flames,Columbus Blue Jackets,1,3
2022-12-09,Winnipeg Jets,Chicago Blackhawks,3,1
2022-12-09,New York Rangers,Colorado Avalanche,2,1
2022-12-09,Minnesota Wild,Edmonton Oilers,2,5
2022-12-09,New York Islanders,New Jersey Devils,6,4
2022-12-09,Philadelphia Flyers,Vegas Golden Knights,1,2
2022-12-09,Seattle Kraken,Washington Capitals,1,4
2022-12-10,Detroit Red Wings,Dallas Stars,2,3
2022-12-10,Los Angeles Kings,Montreal Canadiens,4,2
2022-12-10,Ottawa Senators,Nashville Predators,3,2
2022-12-10,Carolina Hurricanes,New York Islanders,3,0
2022-12-10,Buffalo Sabres,Pittsburgh Penguins,1,3
2022-12-10,Florida Panthers,Tampa Bay Lightning,1,4
2022-12-10,Calgary Flames,Toronto Maple Leafs,4,5
2022-12-10,Minnesota Wild,Vancouver Canucks,3,0
2022-12-11,Philadelphia Flyers,Arizona Coyotes,4,5
2022-12-11,Los Angeles Kings,Columbus Blue Jackets,5,6
2022-12-11,Seattle Kraken,Florida Panthers,5,2
2022-12-11,Colorado Avalanche,St. Louis Blues,3,2
2022-12-11,Boston Bruins,Vegas Golden Knights,3,1
2022-12-11,Washington Capitals,Winnipeg Jets,5,2
2022-12-12,Edmonton Oilers,Minnesota Wild,1,2
2022-12-12,Calgary Flames,Montreal Canadiens,1,2
2022-12-12,New Jersey Devils,New York Rangers,3,4
2022-12-12,Anaheim Ducks,Ottawa Senators,0,3
2022-12-12,Dallas Stars,Pittsburgh Penguins,1,2
2022-12-12,Nashville Predators,St. Louis Blues,0,1
2022-12-13,New York Islanders,Boston Bruins,3,4
2022-12-13,Los Angeles Kings,Buffalo Sabres,0,6
2022-12-13,Washington Capitals,Chicago Blackhawks,7,3
2022-12-13,Philadelphia Flyers,Colorado Avalanche,2,3
2022-12-13,Carolina Hurricanes,Detroit Red Wings,1,0
2022-12-13,Columbus Blue Jackets,Florida Panthers,0,4
2022-12-13,Dallas Stars,New Jersey Devils,4,1
2022-12-13,Edmonton Oilers,Nashville Predators,6,3
2022-12-13,Arizona Coyotes,San Jose Sharks,2,3
2022-12-13,Seattle Kraken,Tampa Bay Lightning,2,6
2022-12-13,Anaheim Ducks,Toronto Maple Leafs,0,7
